Game 1, AI Wins: 5, Ties: 7, Player Wins: 3, Params: history_length=2, alpha=0.050, epsilon=0.012, freq_bias=0.000, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.636, Features: [0.3333333432674408, 0.46666666865348816, 0.20000000298023224, 0.46666666865348816, 0.4000000059604645, 0.13333334028720856, 0.5714285969734192, 0.4285714328289032, 0.0012948717921972275, 0.03328012675046921, 0.38461539149284363, 0.1666666716337204, 0.20000000298023224, 1.4294732809066772, 2.0, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 1.0, 0.0]
Game 1, AI Wins: 9, Ties: 4, Player Wins: 2, Params: history_length=2, alpha=0.177, epsilon=0.005, freq_bias=0.139, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: 1.093, Features: [0.6000000238418579, 0.2666666805744171, 0.13333334028720856, 0.46666666865348816, 0.20000000298023224, 0.3333333432674408, 0.2142857164144516, 0.7857142686843872, 0.005130356643348932, 0.03705219179391861, 0.23076923191547394, 0.0, 0.4000000059604645, 1.5058231353759766, 2.0, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 1.0, 0.0]
Game 2, AI Wins: 6, Ties: 5, Player Wins: 4, Params: history_length=2, alpha=0.189, epsilon=0.005, freq_bias=0.144, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.621, Features: [0.4000000059604645, 0.3333333432674408, 0.2666666805744171, 0.20000000298023224, 0.4000000059604645, 0.4000000059604645, 0.1428571492433548, 0.8571428656578064, 0.004520733840763569, 0.041701219975948334, 0.23076923191547394, 0.0, 0.20000000298023224, 1.521928071975708, 2.0, 0.17655351758003235, 0.004999999888241291, 0.13905580341815948, 1.0, 0.0]
Game 3, AI Wins: 6, Ties: 8, Player Wins: 1, Params: history_length=2, alpha=0.182, epsilon=0.005, freq_bias=0.140, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.593, Features: [0.4000000059604645, 0.5333333611488342, 0.06666667014360428, 0.2666666805744171, 0.2666666805744171, 0.46666666865348816, 0.2857142984867096, 0.7142857313156128, 0.005951574072241783, 0.04517190158367157, 0.23076923191547394, 0.0833333358168602, 0.20000000298023224, 1.5301250219345093, 2.0, 0.18851515650749207, 0.004999999888241291, 0.14405721426010132, 1.0, 0.0]
Game 4, AI Wins: 7, Ties: 1, Player Wins: 7, Params: history_length=2, alpha=0.207, epsilon=0.005, freq_bias=0.150, Loss: N/A, Safe Mode Rounds: 0, Strategy: exploit, Meta-Reward: -0.207, Features: [0.46666666865348816, 0.06666667014360428, 0.46666666865348816, 0.20000000298023224, 0.3333333432674408, 0.46666666865348816, 0.2142857164144516, 0.7857142686843872, 0.004739528056234121, 0.05353451147675514, 0.38461539149284363, 0.0, 0.6000000238418579, 1.5058231353759766, 2.0, 0.18201899528503418, 0.004999999888241291, 0.1397160291671753, 0.0, 0.0]
Game 5, AI Wins: 5, Ties: 5, Player Wins: 5, Params: history_length=2, alpha=0.204, epsilon=0.005, freq_bias=0.147, Loss: N/A, Safe Mode Rounds: 0, Strategy: exploit, Meta-Reward: -1.193, Features: [0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.20000000298023224, 0.5333333611488342, 0.2666666805744171, 0.2857142984867096, 0.7142857313156128, 0.0033705877140164375, 0.05259590595960617, 0.07692307978868484, 0.0, 0.4000000059604645, 1.4565647840499878, 2.0, 0.20741714537143707, 0.004999999888241291, 0.14967438578605652, 0.0, 0.0]
Game 6, AI Wins: 6, Ties: 1, Player Wins: 8, Params: history_length=2, alpha=0.211, epsilon=0.005, freq_bias=0.143, Loss: N/A, Safe Mode Rounds: 0, Strategy: exploit, Meta-Reward: -0.664, Features: [0.4000000059604645, 0.06666667014360428, 0.5333333611488342, 0.46666666865348816, 0.4000000059604645, 0.13333334028720856, 0.4285714328289032, 0.5714285969734192, 0.0016425215872004628, 0.057816557586193085, 0.23076923191547394, 0.0833333358168602, 0.20000000298023224, 1.4294732809066772, 2.0, 0.2036134898662567, 0.004999999888241291, 0.147386372089386, 0.0, 0.0]
Game 7, AI Wins: 7, Ties: 4, Player Wins: 4, Params: history_length=2, alpha=0.177, epsilon=0.005, freq_bias=0.136, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.164, Features: [0.46666666865348816, 0.2666666805744171, 0.2666666805744171, 0.2666666805744171, 0.46666666865348816, 0.2666666805744171, 0.4285714328289032, 0.5714285969734192, 0.002197238616645336, 0.061440642923116684, 0.23076923191547394, 0.0, 0.4000000059604645, 1.5301250219345093, 2.0, 0.21135318279266357, 0.004999999888241291, 0.14263418316841125, 1.0, 0.0]
Game 8, AI Wins: 5, Ties: 5, Player Wins: 5, Params: history_length=2, alpha=0.209, epsilon=0.005, freq_bias=0.157, Loss: N/A, Safe Mode Rounds: 0, Strategy: exploit, Meta-Reward: -1.236, Features: [0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.0714285746216774, 0.9285714030265808, 0.0015485750045627356, 0.05870256945490837, 0.8461538553237915, 0.0, 0.6000000238418579, 1.5849624872207642, 2.0, 0.1771661341190338, 0.004999999888241291, 0.13635839521884918, 0.0, 0.0]
Game 9, AI Wins: 7, Ties: 4, Player Wins: 4, Params: history_length=2, alpha=0.196, epsilon=0.005, freq_bias=0.150, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: 0.164, Features: [0.46666666865348816, 0.2666666805744171, 0.2666666805744171, 0.06666667014360428, 0.800000011920929, 0.13333334028720856, 0.5714285969734192, 0.4285714328289032, 0.001679822220467031, 0.06569787859916687, 0.38461539149284363, 0.25, 0.0, 0.9055872559547424, 2.0, 0.20879068970680237, 0.004999999888241291, 0.1572549045085907, 1.0, 0.0]
Game 10, AI Wins: 5, Ties: 9, Player Wins: 1, Params: history_length=2, alpha=0.190, epsilon=0.005, freq_bias=0.143, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -1.121, Features: [0.3333333432674408, 0.6000000238418579, 0.06666667014360428, 0.20000000298023224, 0.4000000059604645, 0.4000000059604645, 0.1428571492433548, 0.8571428656578064, 0.0017308637034147978, 0.06510090082883835, 0.23076923191547394, 0.0, 0.20000000298023224, 1.521928071975708, 2.0, 0.19564981758594513, 0.004999999888241291, 0.14992877840995789, 1.0, 0.0]
Game 11, AI Wins: 6, Ties: 5, Player Wins: 4, Params: history_length=2, alpha=0.183, epsilon=0.005, freq_bias=0.138, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.650, Features: [0.4000000059604645, 0.3333333432674408, 0.2666666805744171, 0.20000000298023224, 0.3333333432674408, 0.46666666865348816, 0.5, 0.5, 0.0012271013110876083, 0.06510163843631744, 0.23076923191547394, 0.0833333358168602, 0.20000000298023224, 1.5058231353759766, 2.0, 0.18977585434913635, 0.004999999888241291, 0.1433802992105484, 1.0, 0.0]
Game 12, AI Wins: 8, Ties: 3, Player Wins: 4, Params: history_length=2, alpha=0.188, epsilon=0.005, freq_bias=0.137, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: 0.264, Features: [0.5333333611488342, 0.20000000298023224, 0.2666666805744171, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.0714285746216774, 0.9285714030265808, 0.0017702203476801515, 0.0648777037858963, 0.8461538553237915, 0.0, 0.6000000238418579, 1.5849624872207642, 2.0, 0.18280160427093506, 0.004999999888241291, 0.13778704404830933, 1.0, 0.0]
Game 13, AI Wins: 5, Ties: 4, Player Wins: 6, Params: history_length=2, alpha=0.209, epsilon=0.005, freq_bias=0.147, Loss: N/A, Safe Mode Rounds: 0, Strategy: exploit, Meta-Reward: -1.164, Features: [0.3333333432674408, 0.2666666805744171, 0.4000000059604645, 0.20000000298023224, 0.6000000238418579, 0.20000000298023224, 0.4285714328289032, 0.5714285969734192, 0.0005492784548550844, 0.06245637685060501, 0.3076923191547394, 0.0833333358168602, 0.4000000059604645, 1.3709505796432495, 2.0, 0.18827886879444122, 0.004999999888241291, 0.13690093159675598, 0.0, 0.0]
Game 14, AI Wins: 8, Ties: 4, Player Wins: 3, Params: history_length=2, alpha=0.176, epsilon=0.005, freq_bias=0.138, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: 0.321, Features: [0.5333333611488342, 0.2666666805744171, 0.20000000298023224, 0.2666666805744171, 0.4000000059604645, 0.3333333432674408, 0.3571428656578064, 0.6428571343421936, 0.0012129481183364987, 0.06592229753732681, 0.0, 0.0, 0.20000000298023224, 1.5655962228775024, 2.0, 0.20918729901313782, 0.004999999888241291, 0.14744794368743896, 1.0, 0.0]
Game 15, AI Wins: 5, Ties: 7, Player Wins: 3, Params: history_length=2, alpha=0.196, epsilon=0.005, freq_bias=0.147, Loss: N/A, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -1.250, Features: [0.3333333432674408, 0.46666666865348816, 0.20000000298023224, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.0, 1.0, 0.0006993075367063284, 0.06496398895978928, 1.0, 0.0, 0.4000000059604645, 1.5849624872207642, 2.0, 0.17586573958396912, 0.004999999888241291, 0.1376805156469345, 1.0, 0.0]
Game 16, AI Wins: 7, Ties: 4, Player Wins: 4, Params: history_length=2, alpha=0.175, epsilon=0.005, freq_bias=0.136, Loss: 5.2726, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.150, Features: [0.46666666865348816, 0.2666666805744171, 0.2666666805744171, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.0, 1.0, 0.0007099077338352799, 0.06459037214517593, 0.0, 0.0, 0.6000000238418579, 1.5849624872207642, 2.0, 0.19638758897781372, 0.004999999888241291, 0.14662006497383118, 1.0, 0.0]
Game 17, AI Wins: 7, Ties: 6, Player Wins: 2, Params: history_length=2, alpha=0.171, epsilon=0.005, freq_bias=0.134, Loss: 5.2680, Safe Mode Rounds: 15, Strategy: exploit, Meta-Reward: -0.193, Features: [0.46666666865348816, 0.4000000059604645, 0.13333334028720856, 0.2666666805744171, 0.3333333432674408, 0.4000000059604645, 0.2857142984867096, 0.7142857313156128, 0.0011543062282726169, 0.06267603486776352, 0.3076923191547394, 0.0, 0.800000011920929, 1.5655962228775024, 2.0, 0.1753239631652832, 0.004999999888241291, 0.13559749722480774, 1.0, 0.0]
